id	Título	Autor	Editor	ISBN	página total	Etiquetas en uso	fecha inicio	fecha fin	Calificaciones de estrellas
19	I Am the Traitor	Allen Zadoff	Hachette UK	9780316336871	100%	#Crime #YoungAdult	13/4/2017 ~ 23/6/2017		4.5
20	I Am the Mission	Allen Zadoff	Hachette UK	9780316255042	100%	#Crime #YoungAdult	21/7/2018 ~ 23/9/2018		4.5
21	I Am the Weapon	Allen Zadoff	Hachette UK	9780316335409	100%	#Crime #YoungAdult	5/1/2017 ~ 12/4/2017		5.0
22	Harry Potter y la piedra filosofal	J. K. Rowling	Lectorum Publications		100%	#Magic #Childrens	12/11/2011 ~ 16/12/2011		4.0
23	Harry Potter y la cámara secreta	J. K. Rowling	Lectorum Publications	9788478884957	100%	#Fantasy #Magic #Childrens	1/1/2012 ~ 27/1/2012		4.0
24	Harry Potter and the Cursed Child: Parts One and Two (Harry P...	J.K. Rowling	Lectorum Publications		100%	#Fantasy #Fiction #YoungAdult #Plays #Magic #Adventure #MiddleGrade	8/7/2018 ~ 26/7/2018		4.0
25	Harry Potter y el cáliz de fuego	J. K. Rowling	Lectorum Publications	9788478886456	100%	#Magic #Fantasy #Childrens	4/2/2012 ~ 2/3/2012		3.5
26	Harry Potter y el misterio del príncipe	J. K. Rowling	Lectorum Publications	9788478889907	100%	#Magic #Fantasy #Childrens	1/6/2012 ~ 21/7/2012		3.5
27	Harry Potter 5 y la orden del Fénix	J. K. Rowling	Lectorum Publications	9788498383621	100%	#Childrens #Magic #Fantasy	1/7/2012 ~ 28/7/2012		3.5
28	Harry Potter y las Reliquias de la Muerte	J.K. Rowling	Lectorum Publications		100%	#Fantasy #YoungAdult #Fiction #Magic #Childrens #Adventure	6/10/2012 ~ 20/11/2012		4.5
29	Rebel	Marie Lu	Penguin		100%		16/11/2019 ~ 16/12/2019		4.0
30	Legend	Marie Lu	Penguin		100%		6/2/2014 ~ 23/2/2014		4.5
31	Prodigy	Marie Lu	Penguin	9781101607848	100%		2/1/2014 ~ 25/1/2014		4.5
32	Champion	Marie Lu	Penguin	9780698135413	100%		28/11/2013 ~ 21/12/2013		5.0
33	Terapia	Sebastian Fitzek			0%	#Thriller #Mystery #Fiction #Crime  			
34	A River Called Time	Courttia Newland	Canongate Books	9781786897077	0%				
35	La chica del tren	Paula Hawkins			24%		24/6/2023 ~ 		0.0
36	La mujer del camarote 10	Ruth Ware	SALAMANDRA	9788415631903	0%				
